Cameraframes.Value,Cameraframes.Timestamp,Quinine_video,Airpuff_video,Sucrose_video,Quinine_stim
340,2025-08-14T22:10:03.1399680+01:00,0,0,0,0
341,2025-08-14T22:10:03.1549824+01:00,0,0,0,0
342,2025-08-14T22:10:03.1704960+01:00,0,0,0,0
343,2025-08-14T22:10:03.1851776+01:00,0,0,0,0
344,2025-08-14T22:10:03.2005760+01:00,0,0,0,0
345,2025-08-14T22:10:03.2150912+01:00,0,0,0,0
346,2025-08-14T22:10:03.2301568+01:00,0,0,0,0
347,2025-08-14T22:10:03.2452736+01:00,0,0,0,0
348,2025-08-14T22:10:03.2603008+01:00,0,0,0,0
349,2025-08-14T22:10:03.2757632+01:00,0,0,0,0
350,2025-08-14T22:10:03.2902784+01:00,0,0,0,0
351,2025-08-14T22:10:03.3053184+01:00,0,0,0,0
352,2025-08-14T22:10:03.3204608+01:00,0,0,0,0
353,2025-08-14T22:10:03.3359232+01:00,0,0,0,0
354,2025-08-14T22:10:03.3505536+01:00,0,0,0,0
355,2025-08-14T22:10:03.3655680+01:00,0,0,0,0
356,2025-08-14T22:10:03.3810176+01:00,0,0,0,0
357,2025-08-14T22:10:03.3957504+01:00,0,0,0,0
358,2025-08-14T22:10:03.4109952+01:00,0,0,0,0
359,2025-08-14T22:10:03.4257664+01:00,0,0,0,0
360,2025-08-14T22:10:03.4407808+01:00,0,0,0,0
361,2025-08-14T22:10:03.4558080+01:00,0,0,0,0
362,2025-08-14T22:10:03.4708352+01:00,0,0,0,0
363,2025-08-14T22:10:03.4862848+01:00,0,0,0,0
364,2025-08-14T22:10:03.5009664+01:00,0,0,0,0
365,2025-08-14T22:10:03.5159808+01:00,0,0,0,0
366,2025-08-14T22:10:03.5310592+01:00,0,0,0,0
367,2025-08-14T22:10:03.5464704+01:00,0,0,0,0
368,2025-08-14T22:10:03.5611392+01:00,0,0,0,0
369,2025-08-14T22:10:03.5761792+01:00,0,0,0,0
370,2025-08-14T22:10:03.5919872+01:00,0,0,0,0
371,2025-08-14T22:10:03.6062208+01:00,0,0,0,0
372,2025-08-14T22:10:03.6212224+01:00,0,0,0,0
373,2025-08-14T22:10:03.6362880+01:00,0,0,0,0
374,2025-08-14T22:10:03.6518784+01:00,0,0,0,0
375,2025-08-14T22:10:03.6664064+01:00,0,0,0,0
376,2025-08-14T22:10:03.6814336+01:00,0,0,0,0
377,2025-08-14T22:10:03.6964352+01:00,0,0,0,0
378,2025-08-14T22:10:03.7120256+01:00,0,0,0,0
379,2025-08-14T22:10:03.7265280+01:00,0,0,0,0
380,2025-08-14T22:10:03.7415936+01:00,0,0,0,0
381,2025-08-14T22:10:03.7570688+01:00,0,0,0,0
382,2025-08-14T22:10:03.7716608+01:00,0,0,0,0
383,2025-08-14T22:10:03.7870848+01:00,0,0,0,0
384,2025-08-14T22:10:03.8017536+01:00,0,0,0,0
385,2025-08-14T22:10:03.8167808+01:00,0,0,0,0
386,2025-08-14T22:10:03.8319744+01:00,0,0,0,0
387,2025-08-14T22:10:03.8470016+01:00,0,0,0,0
388,2025-08-14T22:10:03.8624384+01:00,0,0,0,0
389,2025-08-14T22:10:03.8770048+01:00,0,0,0,0
390,2025-08-14T22:10:03.8920448+01:00,0,0,0,0
391,2025-08-14T22:10:03.9071488+01:00,0,0,0,0
392,2025-08-14T22:10:03.9226112+01:00,0,0,0,0
393,2025-08-14T22:10:03.9371776+01:00,0,0,0,0
394,2025-08-14T22:10:03.9521920+01:00,0,0,0,0
395,2025-08-14T22:10:03.9677056+01:00,0,0,0,0
396,2025-08-14T22:10:03.9823616+01:00,0,0,0,0
397,2025-08-14T22:10:03.9984256+01:00,0,0,0,0
398,2025-08-14T22:10:04.0123648+01:00,0,0,0,0
399,2025-08-14T22:10:04.0273792+01:00,0,0,0,0
400,2025-08-14T22:10:04.0424320+01:00,0,0,0,0
401,2025-08-14T22:10:04.0580864+01:00,0,0,0,0
402,2025-08-14T22:10:04.0724992+01:00,0,0,0,0
403,2025-08-14T22:10:04.0878720+01:00,0,0,0,0
404,2025-08-14T22:10:04.1025792+01:00,0,0,0,0
405,2025-08-14T22:10:04.1181056+01:00,0,0,0,0
406,2025-08-14T22:10:04.1326336+01:00,0,0,0,0
407,2025-08-14T22:10:04.1477632+01:00,0,0,0,0
408,2025-08-14T22:10:04.1632384+01:00,0,0,0,0
409,2025-08-14T22:10:04.1778432+01:00,0,0,0,0
410,2025-08-14T22:10:04.1932416+01:00,0,0,0,0
411,2025-08-14T22:10:04.2079104+01:00,0,0,0,0
412,2025-08-14T22:10:04.2228864+01:00,0,0,0,0
413,2025-08-14T22:10:04.2379392+01:00,0,0,0,0
414,2025-08-14T22:10:04.2532224+01:00,0,0,0,0
415,2025-08-14T22:10:04.2686592+01:00,0,0,0,0
416,2025-08-14T22:10:04.2830336+01:00,0,0,0,0
417,2025-08-14T22:10:04.2981376+01:00,0,0,0,0
418,2025-08-14T22:10:04.3132032+01:00,0,0,0,0
419,2025-08-14T22:10:04.3287424+01:00,0,0,0,0
420,2025-08-14T22:10:04.3432448+01:00,0,0,0,0
421,2025-08-14T22:10:04.3583232+01:00,0,0,0,0
422,2025-08-14T22:10:04.3737856+01:00,0,0,0,0
423,2025-08-14T22:10:04.3884672+01:00,0,0,0,0
424,2025-08-14T22:10:04.4044160+01:00,0,0,0,0
425,2025-08-14T22:10:04.4184192+01:00,0,0,0,0
426,2025-08-14T22:10:04.4334592+01:00,0,0,0,0
427,2025-08-14T22:10:04.4488064+01:00,0,0,0,0
428,2025-08-14T22:10:04.4641408+01:00,0,0,0,0
429,2025-08-14T22:10:04.4786176+01:00,0,0,0,0
430,2025-08-14T22:10:04.4936576+01:00,0,0,0,0
431,2025-08-14T22:10:04.5086976+01:00,0,0,0,0
432,2025-08-14T22:10:04.5241472+01:00,0,0,0,0
433,2025-08-14T22:10:04.5387648+01:00,0,0,0,0
434,2025-08-14T22:10:04.5538176+01:00,0,0,0,0
435,2025-08-14T22:10:04.5692928+01:00,0,0,0,0
436,2025-08-14T22:10:04.5839360+01:00,0,0,0,0
437,2025-08-14T22:10:04.5993472+01:00,0,0,0,0
438,2025-08-14T22:10:04.6140032+01:00,0,0,0,0
439,2025-08-14T22:10:04.6290176+01:00,0,0,0,0
